"model","simID","time","lac","mu","K","gam","laa","seed","env","nic","dis","com","mut","tim"
"ve","11111101",10,1.4,0.3,60,0.001,0.5,1,"","","M","","M",""
"ve","11111102",10,1.4,0.3,60,0.001,0.5,2,"","","M","","M",""
"ve","11111103",10,1.4,0.3,60,0.001,0.5,3,"","","M","","M",""
"ve","11111104",10,1.4,0.3,60,0.001,0.5,4,"","","M","","M",""
"ve","11111105",10,1.4,0.3,60,0.001,0.5,5,"","","M","","M",""
"ve","11111106",10,1.4,0.3,60,0.001,0.5,6,"","","M","","M",""
"ve","11111107",10,1.4,0.3,60,0.001,0.5,7,"","","M","","M",""
"ve","11111108",10,1.4,0.3,60,0.001,0.5,8,"","","M","","M",""
"ve","11111109",10,1.4,0.3,60,0.001,0.5,9,"","","M","","M",""
"ve","11111110",10,1.4,0.3,60,0.001,0.5,10,"","","M","","M",""
"ve","11111111",10,1.4,0.3,60,0.001,0.5,11,"","","M","","M",""
"ve","11111112",10,1.4,0.3,60,0.001,0.5,12,"","","M","","M",""
"ve","11111113",10,1.4,0.3,60,0.001,0.5,13,"","","M","","M",""
"ve","11111114",10,1.4,0.3,60,0.001,0.5,14,"","","M","","M",""
"ve","11111115",10,1.4,0.3,60,0.001,0.5,15,"","","M","","M",""
"ve","11111116",10,1.4,0.3,60,0.001,0.5,16,"","","M","","M",""
"ve","11111117",10,1.4,0.3,60,0.001,0.5,17,"","","M","","M",""
"ve","11111118",10,1.4,0.3,60,0.001,0.5,18,"","","M","","M",""
"ve","11111119",10,1.4,0.3,60,0.001,0.5,19,"","","M","","M",""
"ve","11111120",10,1.4,0.3,60,0.001,0.5,20,"","","M","","M",""
"ve","11111121",10,1.4,0.3,60,0.001,0.5,21,"","","M","","M",""
"ve","11111122",10,1.4,0.3,60,0.001,0.5,22,"","","M","","M",""
"ve","11111123",10,1.4,0.3,60,0.001,0.5,23,"","","M","","M",""
"ve","11111124",10,1.4,0.3,60,0.001,0.5,24,"","","M","","M",""
"ve","11111125",10,1.4,0.3,60,0.001,0.5,25,"","","M","","M",""
"ve","11111126",10,1.4,0.3,60,0.001,0.5,26,"","","M","","M",""
"ve","11111127",10,1.4,0.3,60,0.001,0.5,27,"","","M","","M",""
"ve","11111128",10,1.4,0.3,60,0.001,0.5,28,"","","M","","M",""
"ve","11111129",10,1.4,0.3,60,0.001,0.5,29,"","","M","","M",""
"ve","11111130",10,1.4,0.3,60,0.001,0.5,30,"","","M","","M",""
"ve","12111101",10,0.9,0.3,60,0.001,0.5,1,"","","","","L",""
"ve","12111102",10,0.9,0.3,60,0.001,0.5,2,"","","","","L",""
"ve","12111103",10,0.9,0.3,60,0.001,0.5,3,"","","","","L",""
"ve","12111104",10,0.9,0.3,60,0.001,0.5,4,"","","","","L",""
"ve","12111105",10,0.9,0.3,60,0.001,0.5,5,"","","","","L",""
"ve","12111106",10,0.9,0.3,60,0.001,0.5,6,"","","","","L",""
"ve","12111107",10,0.9,0.3,60,0.001,0.5,7,"","","","","L",""
"ve","12111108",10,0.9,0.3,60,0.001,0.5,8,"","","","","L",""
"ve","12111109",10,0.9,0.3,60,0.001,0.5,9,"","","","","L",""
"ve","12111110",10,0.9,0.3,60,0.001,0.5,10,"","","","","L",""
"ve","12111111",10,0.9,0.3,60,0.001,0.5,11,"","","","","L",""
"ve","12111112",10,0.9,0.3,60,0.001,0.5,12,"","","","","L",""
"ve","12111113",10,0.9,0.3,60,0.001,0.5,13,"","","","","L",""
"ve","12111114",10,0.9,0.3,60,0.001,0.5,14,"","","","","L",""
"ve","12111115",10,0.9,0.3,60,0.001,0.5,15,"","","","","L",""
"ve","12111116",10,0.9,0.3,60,0.001,0.5,16,"","","","","L",""
"ve","12111117",10,0.9,0.3,60,0.001,0.5,17,"","","","","L",""
"ve","12111118",10,0.9,0.3,60,0.001,0.5,18,"","","","","L",""
"ve","12111119",10,0.9,0.3,60,0.001,0.5,19,"","","","","L",""
"ve","12111120",10,0.9,0.3,60,0.001,0.5,20,"","","","","L",""
"ve","12111121",10,0.9,0.3,60,0.001,0.5,21,"","","","","L",""
"ve","12111122",10,0.9,0.3,60,0.001,0.5,22,"","","","","L",""
"ve","12111123",10,0.9,0.3,60,0.001,0.5,23,"","","","","L",""
"ve","12111124",10,0.9,0.3,60,0.001,0.5,24,"","","","","L",""
"ve","12111125",10,0.9,0.3,60,0.001,0.5,25,"","","","","L",""
"ve","12111126",10,0.9,0.3,60,0.001,0.5,26,"","","","","L",""
"ve","12111127",10,0.9,0.3,60,0.001,0.5,27,"","","","","L",""
"ve","12111128",10,0.9,0.3,60,0.001,0.5,28,"","","","","L",""
"ve","12111129",10,0.9,0.3,60,0.001,0.5,29,"","","","","L",""
"ve","12111130",10,0.9,0.3,60,0.001,0.5,30,"","","","","L",""
"ve","13111101",10,2,0.3,60,0.001,0.5,1,"","","","","H",""
"ve","13111102",10,2,0.3,60,0.001,0.5,2,"","","","","H",""
"ve","13111103",10,2,0.3,60,0.001,0.5,3,"","","","","H",""
"ve","13111104",10,2,0.3,60,0.001,0.5,4,"","","","","H",""
"ve","13111105",10,2,0.3,60,0.001,0.5,5,"","","","","H",""
"ve","13111106",10,2,0.3,60,0.001,0.5,6,"","","","","H",""
"ve","13111107",10,2,0.3,60,0.001,0.5,7,"","","","","H",""
"ve","13111108",10,2,0.3,60,0.001,0.5,8,"","","","","H",""
"ve","13111109",10,2,0.3,60,0.001,0.5,9,"","","","","H",""
"ve","13111110",10,2,0.3,60,0.001,0.5,10,"","","","","H",""
"ve","13111111",10,2,0.3,60,0.001,0.5,11,"","","","","H",""
"ve","13111112",10,2,0.3,60,0.001,0.5,12,"","","","","H",""
"ve","13111113",10,2,0.3,60,0.001,0.5,13,"","","","","H",""
"ve","13111114",10,2,0.3,60,0.001,0.5,14,"","","","","H",""
"ve","13111115",10,2,0.3,60,0.001,0.5,15,"","","","","H",""
"ve","13111116",10,2,0.3,60,0.001,0.5,16,"","","","","H",""
"ve","13111117",10,2,0.3,60,0.001,0.5,17,"","","","","H",""
"ve","13111118",10,2,0.3,60,0.001,0.5,18,"","","","","H",""
"ve","13111119",10,2,0.3,60,0.001,0.5,19,"","","","","H",""
"ve","13111120",10,2,0.3,60,0.001,0.5,20,"","","","","H",""
"ve","13111121",10,2,0.3,60,0.001,0.5,21,"","","","","H",""
"ve","13111122",10,2,0.3,60,0.001,0.5,22,"","","","","H",""
"ve","13111123",10,2,0.3,60,0.001,0.5,23,"","","","","H",""
"ve","13111124",10,2,0.3,60,0.001,0.5,24,"","","","","H",""
"ve","13111125",10,2,0.3,60,0.001,0.5,25,"","","","","H",""
"ve","13111126",10,2,0.3,60,0.001,0.5,26,"","","","","H",""
"ve","13111127",10,2,0.3,60,0.001,0.5,27,"","","","","H",""
"ve","13111128",10,2,0.3,60,0.001,0.5,28,"","","","","H",""
"ve","13111129",10,2,0.3,60,0.001,0.5,29,"","","","","H",""
"ve","13111130",10,2,0.3,60,0.001,0.5,30,"","","","","H",""
"ve","11113101",10,1.4,0.3,60,0.005,0.5,1,"","","H","","","H"
"ve","11113102",10,1.4,0.3,60,0.005,0.5,2,"","","H","","","H"
"ve","11113103",10,1.4,0.3,60,0.005,0.5,3,"","","H","","","H"
"ve","11113104",10,1.4,0.3,60,0.005,0.5,4,"","","H","","","H"
"ve","11113105",10,1.4,0.3,60,0.005,0.5,5,"","","H","","","H"
"ve","11113106",10,1.4,0.3,60,0.005,0.5,6,"","","H","","","H"
"ve","11113107",10,1.4,0.3,60,0.005,0.5,7,"","","H","","","H"
"ve","11113108",10,1.4,0.3,60,0.005,0.5,8,"","","H","","","H"
"ve","11113109",10,1.4,0.3,60,0.005,0.5,9,"","","H","","","H"
"ve","11113110",10,1.4,0.3,60,0.005,0.5,10,"","","H","","","H"
"ve","11113111",10,1.4,0.3,60,0.005,0.5,11,"","","H","","","H"
"ve","11113112",10,1.4,0.3,60,0.005,0.5,12,"","","H","","","H"
"ve","11113113",10,1.4,0.3,60,0.005,0.5,13,"","","H","","","H"
"ve","11113114",10,1.4,0.3,60,0.005,0.5,14,"","","H","","","H"
"ve","11113115",10,1.4,0.3,60,0.005,0.5,15,"","","H","","","H"
"ve","11113116",10,1.4,0.3,60,0.005,0.5,16,"","","H","","","H"
"ve","11113117",10,1.4,0.3,60,0.005,0.5,17,"","","H","","","H"
"ve","11113118",10,1.4,0.3,60,0.005,0.5,18,"","","H","","","H"
"ve","11113119",10,1.4,0.3,60,0.005,0.5,19,"","","H","","","H"
"ve","11113120",10,1.4,0.3,60,0.005,0.5,20,"","","H","","","H"
"ve","11113121",10,1.4,0.3,60,0.005,0.5,21,"","","H","","","H"
"ve","11113122",10,1.4,0.3,60,0.005,0.5,22,"","","H","","","H"
"ve","11113123",10,1.4,0.3,60,0.005,0.5,23,"","","H","","","H"
"ve","11113124",10,1.4,0.3,60,0.005,0.5,24,"","","H","","","H"
"ve","11113125",10,1.4,0.3,60,0.005,0.5,25,"","","H","","","H"
"ve","11113126",10,1.4,0.3,60,0.005,0.5,26,"","","H","","","H"
"ve","11113127",10,1.4,0.3,60,0.005,0.5,27,"","","H","","","H"
"ve","11113128",10,1.4,0.3,60,0.005,0.5,28,"","","H","","","H"
"ve","11113129",10,1.4,0.3,60,0.005,0.5,29,"","","H","","","H"
"ve","11113130",10,1.4,0.3,60,0.005,0.5,30,"","","H","","","H"
"ve","11112101",10,1.4,0.3,60,5e-04,0.5,1,"","","L","","",""
"ve","11112102",10,1.4,0.3,60,5e-04,0.5,2,"","","L","","",""
"ve","11112103",10,1.4,0.3,60,5e-04,0.5,3,"","","L","","",""
"ve","11112104",10,1.4,0.3,60,5e-04,0.5,4,"","","L","","",""
"ve","11112105",10,1.4,0.3,60,5e-04,0.5,5,"","","L","","",""
"ve","11112106",10,1.4,0.3,60,5e-04,0.5,6,"","","L","","",""
"ve","11112107",10,1.4,0.3,60,5e-04,0.5,7,"","","L","","",""
"ve","11112108",10,1.4,0.3,60,5e-04,0.5,8,"","","L","","",""
"ve","11112109",10,1.4,0.3,60,5e-04,0.5,9,"","","L","","",""
"ve","11112110",10,1.4,0.3,60,5e-04,0.5,10,"","","L","","",""
"ve","11112111",10,1.4,0.3,60,5e-04,0.5,11,"","","L","","",""
"ve","11112112",10,1.4,0.3,60,5e-04,0.5,12,"","","L","","",""
"ve","11112113",10,1.4,0.3,60,5e-04,0.5,13,"","","L","","",""
"ve","11112114",10,1.4,0.3,60,5e-04,0.5,14,"","","L","","",""
"ve","11112115",10,1.4,0.3,60,5e-04,0.5,15,"","","L","","",""
"ve","11112116",10,1.4,0.3,60,5e-04,0.5,16,"","","L","","",""
"ve","11112117",10,1.4,0.3,60,5e-04,0.5,17,"","","L","","",""
"ve","11112118",10,1.4,0.3,60,5e-04,0.5,18,"","","L","","",""
"ve","11112119",10,1.4,0.3,60,5e-04,0.5,19,"","","L","","",""
"ve","11112120",10,1.4,0.3,60,5e-04,0.5,20,"","","L","","",""
"ve","11112121",10,1.4,0.3,60,5e-04,0.5,21,"","","L","","",""
"ve","11112122",10,1.4,0.3,60,5e-04,0.5,22,"","","L","","",""
"ve","11112123",10,1.4,0.3,60,5e-04,0.5,23,"","","L","","",""
"ve","11112124",10,1.4,0.3,60,5e-04,0.5,24,"","","L","","",""
"ve","11112125",10,1.4,0.3,60,5e-04,0.5,25,"","","L","","",""
"ve","11112126",10,1.4,0.3,60,5e-04,0.5,26,"","","L","","",""
"ve","11112127",10,1.4,0.3,60,5e-04,0.5,27,"","","L","","",""
"ve","11112128",10,1.4,0.3,60,5e-04,0.5,28,"","","L","","",""
"ve","11112129",10,1.4,0.3,60,5e-04,0.5,29,"","","L","","",""
"ve","11112130",10,1.4,0.3,60,5e-04,0.5,30,"","","L","","",""
"ve","21113101",3.3,1.4,0.3,60,0.001,0.5,1,"","","","","","L"
"ve","21113103",3.3,1.4,0.3,60,0.001,0.5,3,"","","","","","L"
"ve","21113104",3.3,1.4,0.3,60,0.001,0.5,4,"","","","","","L"
"ve","21113105",3.3,1.4,0.3,60,0.001,0.5,5,"","","","","","L"
"ve","21113106",3.3,1.4,0.3,60,0.001,0.5,6,"","","","","","L"
"ve","21113107",3.3,1.4,0.3,60,0.001,0.5,7,"","","","","","L"
"ve","21113108",3.3,1.4,0.3,60,0.001,0.5,8,"","","","","","L"
"ve","21113109",3.3,1.4,0.3,60,0.001,0.5,9,"","","","","","L"
"ve","21113110",3.3,1.4,0.3,60,0.001,0.5,10,"","","","","","L"
"ve","21113111",3.3,1.4,0.3,60,0.001,0.5,11,"","","","","","L"
"ve","21113112",3.3,1.4,0.3,60,0.001,0.5,12,"","","","","","L"
"ve","21113113",3.3,1.4,0.3,60,0.001,0.5,13,"","","","","","L"
"ve","21113114",3.3,1.4,0.3,60,0.001,0.5,14,"","","","","","L"
"ve","21113115",3.3,1.4,0.3,60,0.001,0.5,15,"","","","","","L"
"ve","21113116",3.3,1.4,0.3,60,0.001,0.5,16,"","","","","","L"
"ve","21113117",3.3,1.4,0.3,60,0.001,0.5,17,"","","","","","L"
"ve","21113118",3.3,1.4,0.3,60,0.001,0.5,18,"","","","","","L"
"ve","21113119",3.3,1.4,0.3,60,0.001,0.5,19,"","","","","","L"
"ve","21113120",3.3,1.4,0.3,60,0.001,0.5,20,"","","","","","L"
"ve","21113122",3.3,1.4,0.3,60,0.001,0.5,22,"","","","","","L"
"ve","21113123",3.3,1.4,0.3,60,0.001,0.5,23,"","","","","","L"
"ve","21113124",3.3,1.4,0.3,60,0.001,0.5,24,"","","","","","L"
"ve","21113125",3.3,1.4,0.3,60,0.001,0.5,25,"","","","","","L"
"ve","21113127",3.3,1.4,0.3,60,0.001,0.5,27,"","","","","","L"
"ve","21113129",3.3,1.4,0.3,60,0.001,0.5,29,"","","","","","L"
"ve","21113130",3.3,1.4,0.3,60,0.001,0.5,30,"","","","","","L"
"ve","31113101",6.7,1.4,0.3,60,0.001,0.5,1,"","","","","","M"
"ve","31113102",6.7,1.4,0.3,60,0.001,0.5,2,"","","","","","M"
"ve","31113103",6.7,1.4,0.3,60,0.001,0.5,3,"","","","","","M"
"ve","31113104",6.7,1.4,0.3,60,0.001,0.5,4,"","","","","","M"
"ve","31113105",6.7,1.4,0.3,60,0.001,0.5,5,"","","","","","M"
"ve","31113106",6.7,1.4,0.3,60,0.001,0.5,6,"","","","","","M"
"ve","31113107",6.7,1.4,0.3,60,0.001,0.5,7,"","","","","","M"
"ve","31113108",6.7,1.4,0.3,60,0.001,0.5,8,"","","","","","M"
"ve","31113109",6.7,1.4,0.3,60,0.001,0.5,9,"","","","","","M"
"ve","31113110",6.7,1.4,0.3,60,0.001,0.5,10,"","","","","","M"
"ve","31113111",6.7,1.4,0.3,60,0.001,0.5,11,"","","","","","M"
"ve","31113112",6.7,1.4,0.3,60,0.001,0.5,12,"","","","","","M"
"ve","31113113",6.7,1.4,0.3,60,0.001,0.5,13,"","","","","","M"
"ve","31113114",6.7,1.4,0.3,60,0.001,0.5,14,"","","","","","M"
"ve","31113115",6.7,1.4,0.3,60,0.001,0.5,15,"","","","","","M"
"ve","31113116",6.7,1.4,0.3,60,0.001,0.5,16,"","","","","","M"
"ve","31113117",6.7,1.4,0.3,60,0.001,0.5,17,"","","","","","M"
"ve","31113118",6.7,1.4,0.3,60,0.001,0.5,18,"","","","","","M"
"ve","31113119",6.7,1.4,0.3,60,0.001,0.5,19,"","","","","","M"
"ve","31113120",6.7,1.4,0.3,60,0.001,0.5,20,"","","","","","M"
"ve","31113121",6.7,1.4,0.3,60,0.001,0.5,21,"","","","","","M"
"ve","31113122",6.7,1.4,0.3,60,0.001,0.5,22,"","","","","","M"
"ve","31113123",6.7,1.4,0.3,60,0.001,0.5,23,"","","","","","M"
"ve","31113124",6.7,1.4,0.3,60,0.001,0.5,24,"","","","","","M"
"ve","31113125",6.7,1.4,0.3,60,0.001,0.5,25,"","","","","","M"
"ve","31113126",6.7,1.4,0.3,60,0.001,0.5,26,"","","","","","M"
"ve","31113127",6.7,1.4,0.3,60,0.001,0.5,27,"","","","","","M"
"ve","31113128",6.7,1.4,0.3,60,0.001,0.5,28,"","","","","","M"
"ve","31113129",6.7,1.4,0.3,60,0.001,0.5,29,"","","","","","M"
"ve","31113130",6.7,1.4,0.3,60,0.001,0.5,30,"","","","","","M"
