model,simID,S,gamma.stat,beta.stat,Colless,Sackin,shape.stat,MRD,VRD,PSV,mean.Iprime,pch,col
hs,3465,10026,4.80137743,NA,79641,173513,11733.95404,17.30630361,15.07434829,0.816190001,0.456761625,16,turquoise
hs,3466,10465,6.436752943,NA,84019,185557,12281.16999,17.73119924,14.32213909,0.912019725,0.466203201,16,turquoise
hs,3467,10375,4.410561895,NA,79196,181128,12226.80697,17.45812048,12.59664096,0.882377762,0.467522101,16,turquoise
hs,3468,10331,3.316213202,NA,73771,172561,12051.12589,16.70322331,11.14560336,0.896037003,0.457714437,16,turquoise
hs,3469,10470,3.631917447,NA,75322,177240,12266.39953,16.92836676,10.55900994,0.884153101,0.456987031,16,turquoise
hs,3470,10465,4.015385239,NA,69713,172273,12286.71083,16.46182513,10.71397163,0.91424098,0.466052198,16,turquoise
hs,3471,10055,2.301806327,NA,74947,173463,11778.22647,17.25141721,12.14048312,0.817739349,0.466810021,16,turquoise
hs,3472,10007,5.029810586,NA,57342,158504,11689.67196,15.83931248,8.772497948,0.917239044,0.459468604,16,turquoise
hs,3473,10046,2.080569099,NA,69996,167412,11736.10689,16.6645431,10.6050284,0.908536568,0.459701741,16,turquoise
hs,3474,10171,2.507409315,NA,67184,166356,11849.64862,16.35591387,10.26760981,0.89501961,0.455226266,16,turquoise
hs,3565,10256,4.174758577,NA,66894,168454,11961.7837,16.424922,11.05316333,0.922995076,0.457887004,16,turquoise
hs,3566,10319,4.469983764,NA,75994,176048,12058.55547,17.06056788,11.79018657,0.916694796,0.458331443,16,turquoise
hs,3567,10251,4.599243489,NA,79826,178078,12010.31395,17.37176861,11.83709169,0.888526704,0.459299288,16,turquoise
hs,3568,10155,1.968248054,NA,71209,168167,11884.04841,16.56001969,10.77606539,0.929974175,0.460223779,16,turquoise
hs,3569,10006,3.837688608,NA,60296,160948,11712.72019,16.08514891,9.152968828,0.920433463,0.460468747,16,turquoise
hs,3570,10111,4.799473671,NA,74197,172407,11888.77276,17.05142914,12.52831423,0.89514867,0.463716001,16,turquoise
hs,3571,10057,3.477353649,NA,78522,172102,11774.4632,17.11265785,12.49675404,0.892056964,0.461348953,16,turquoise
hs,3572,10004,3.995318839,NA,72594,166744,11737.05273,16.66773291,10.37784107,0.923269787,0.464275231,16,turquoise
hs,3573,10273,5.987951315,NA,79547,176315,11998.71249,17.16295143,13.94793802,0.887104441,0.456423509,16,turquoise
hs,3574,10070,4.570011634,NA,78177,174843,11723.11638,17.36276068,12.59170079,0.919709018,0.4529909,16,turquoise
hs,4065,2610,16.09689497,-0.428229568,53222,71028,3235.008844,27.2137931,199.2237269,0.984926246,0.517268305,17,turquoise
hs,4066,2630,16.88945562,-0.379659975,53357,70951,3227.907078,26.97756654,205.7457879,0.989451496,0.511950454,17,turquoise
hs,4067,2599,15.69577841,-0.44258127,60308,77914,3209.38087,29.97845325,280.7870644,0.983451204,0.509481594,17,turquoise
hs,4068,2636,17.45361537,-0.283343951,45191,63679,3197.80313,24.15743551,184.0484494,0.990660947,0.497447824,17,turquoise
hs,4069,2611,15.72266612,-0.297165676,40959,59127,3183.922507,22.64534661,123.8626785,0.988658183,0.50374594,17,turquoise
hs,4070,2594,16.33602873,-0.40106076,40752,59820,3215.109617,23.06090979,126.2816723,0.988765643,0.532707639,17,turquoise
hs,4071,2638,17.1680536,-0.244977321,39754,58796,3198.230096,22.28809704,103.395922,0.993016204,0.507127523,17,turquoise
hs,4072,2615,17.31454576,-0.231332835,38518,56922,3169.855955,21.76749522,107.5128681,0.989948965,0.507642808,17,turquoise
hs,4073,2611,15.92175081,-0.444971941,50687,68419,3233.0792,26.20413635,195.2958603,0.987718259,0.527549897,17,turquoise
hs,4074,2607,17.34274504,-0.40253138,47470,65240,3214.684122,25.02493287,171.3174902,0.989668428,0.521727007,17,turquoise
hs,4075,2618,15.60218684,-0.559558873,90953,108223,3289.695505,41.33804431,292.8872108,0.944007143,0.523906333,17,turquoise
hs,4076,2621,16.50949226,-0.52496381,102613,119329,3267.24537,45.52804273,324.5867133,0.930767816,0.507137911,17,turquoise
hs,4077,2639,16.8501133,-0.515924671,88647,106061,3296.108291,40.18984464,238.8051129,0.961597906,0.516162912,17,turquoise
hs,4078,2608,14.69575429,-0.524702482,86972,104580,3261.657104,40.09969325,242.313034,0.926155645,0.526925448,17,turquoise
hs,4079,2614,15.57919417,-0.454758168,68948,86796,3240.409582,33.20428462,167.3849644,0.949276713,0.521076271,17,turquoise
hs,4080,2623,16.59983393,-0.381374063,77746,95204,3205.388821,36.29584445,240.9368515,0.961766918,0.499434533,17,turquoise
hs,4081,2600,14.88220927,-0.435889227,76824,94254,3214.753646,36.25153846,197.4957652,0.960763782,0.526703578,17,turquoise
hs,4082,2621,16.54987145,-0.567491406,95899,114095,3291.845014,43.531095,281.9621053,0.938274343,0.517041219,17,turquoise
hs,4083,2638,14.40604373,-0.551515209,94767,111605,3305.800406,42.30667172,382.6230196,0.922827196,0.519887548,17,turquoise
hs,4084,2614,15.11208376,-0.614442261,111665,128057,3315.450462,48.98890589,390.581201,0.948720708,0.52711951,17,turquoise
hs,5525,3122,42.0263635,-0.30432124,50563,72619,3823.264288,23.26040999,102.0279675,0.959018103,0.519553751,15,turquoise
hs,5527,3143,43.13452568,-0.296330542,58684,80654,3837.483085,25.66146993,132.3888619,0.958726154,0.509268355,15,turquoise
hs,5528,3168,42.86234597,-0.237121719,70224,91958,3835.00205,29.02714646,177.5294176,0.975303641,0.49125035,15,turquoise
hs,5529,3139,43.56485881,-0.311086707,63454,85176,3850.244683,27.13475629,140.1332053,0.965509168,0.520089208,15,turquoise
hs,5530,3107,41.38519724,-0.182815889,56393,78305,3744.316304,25.20276794,110.647861,0.96357906,0.492224851,15,turquoise
hs,5531,3140,42.96357169,-0.390943561,68167,89617,3875.69956,28.54044586,195.6820208,0.96328299,0.521834289,15,turquoise
hs,5532,3087,41.23699445,-0.336401648,59796,81018,3786.733431,26.24489796,169.3061754,0.962870006,0.515225023,15,turquoise
hs,5533,3117,42.06586546,-0.279153093,61874,83248,3795.678427,26.70773179,154.121548,0.948434427,0.509912256,15,turquoise
hs,5534,3135,42.76850178,-0.367214863,73989,95443,3845.567125,30.44433812,199.3216455,0.971653171,0.511694449,15,turquoise
hs,5535,3107,42.63216646,-0.340415209,74549,95325,3809.620696,30.68072095,211.6243642,0.955623537,0.51863083,15,turquoise
hs,5536,3129,42.57916381,-0.338782001,71724,93084,3842.060799,29.74880153,162.0679533,0.962192111,0.518464732,15,turquoise
hs,5537,3137,42.67786712,-0.206231615,64237,86439,3807.580254,27.55467007,102.3083144,0.949137118,0.506797615,15,turquoise
hs,5538,3129,42.59996792,-0.293976447,79397,100687,3810.136628,32.17865133,152.401897,0.940295249,0.502310697,15,turquoise
hs,5539,3154,42.91982331,-0.370638261,89132,110040,3873.379087,34.8890298,257.6394419,0.955169087,0.512002957,15,turquoise
hs,5540,3181,44.13792706,-0.478973954,99251,120229,3958.988251,37.79597611,292.1712542,0.940012521,0.521580826,15,turquoise
hs,5541,3133,42.80343169,-0.348499748,78780,99994,3847.115151,31.91637408,180.3071807,0.937045536,0.516989547,15,turquoise
hs,5542,3178,43.64598016,-0.145637889,62744,85442,3822.501988,26.88546256,106.137963,0.950266826,0.487148765,15,turquoise
hs,5543,3124,42.22911043,-0.439325639,91198,112068,3875.552473,35.87323944,236.1581181,0.935512296,0.506537835,15,turquoise
hs,5544,3116,42.6862336,-0.380961172,78508,100208,3838.824617,32.15917843,198.3239318,0.935697337,0.507640295,15,turquoise
hs,5625,831,21.21114692,0.011724433,7248,12466,986.6661381,15.00120337,20.02529975,0.972722746,0.498242975,1,turquoise
hs,5626,794,20.26418884,-0.3855304,8173,13325,970.1490213,16.78211587,34.88184873,0.964735056,0.494507926,1,turquoise
hs,5627,803,21.19363944,-0.261509797,8501,13475,975.4038663,16.78082192,32.01923274,0.970668556,0.528772173,1,turquoise
hs,5628,799,19.73033144,-0.254895366,8592,13440,963.0065896,16.82102628,38.69098591,0.958457791,0.508082431,1,turquoise
hs,5629,853,21.42301987,-0.22142809,8198,13620,1030.698933,15.96717468,32.86746583,0.959999075,0.514409785,1,turquoise
hs,5630,819,20.50996756,-0.438840084,8347,13419,1014.545755,16.38461538,40.36167011,0.958296849,0.557462393,1,turquoise
hs,5631,797,20.71865672,0.053511958,6374,11600,938.412773,14.55457967,23.86290928,0.963566038,0.473967073,1,turquoise
hs,5632,807,19.73212658,-0.233527458,7303,12413,976.0173339,15.38166047,30.8690429,0.964081235,0.512142428,1,turquoise
hs,5633,803,19.57496373,-0.203475904,7414,12402,968.2043559,15.44458281,28.07017947,0.959544746,0.506657338,1,turquoise
hs,5634,818,20.7303801,-0.052377098,8485,13639,965.183479,16.67359413,32.53347568,0.959457058,0.470095664,1,turquoise
hs,5635,827,20.21324571,-0.30683072,9770,14788,1006.69464,17.8814994,51.98109799,0.940478475,0.52313346,1,turquoise
hs,5636,790,19.49593748,-0.152914904,9939,14691,936.5844182,18.59620253,47.24992219,0.950517457,0.48556818,1,turquoise
hs,5637,843,21.62060225,-0.38912675,10744,16062,1030.528533,19.05338078,44.97933238,0.937853883,0.517267137,1,turquoise
hs,5638,823,21.54906049,-0.148782558,9019,14007,982.0340861,17.01944107,47.0458503,0.944239984,0.485235301,1,turquoise
hs,5639,801,20.6066373,-0.137513166,8627,13523,955.8571724,16.88264669,36.32121099,0.950465848,0.499353495,1,turquoise
hs,5640,807,19.93410393,-0.287469502,8932,14052,977.7536074,17.41263941,39.02182516,0.93891083,0.507119317,1,turquoise
hs,5641,820,21.14083055,-0.450440095,9644,14696,1012.989595,17.92195122,33.02930999,0.951606516,0.522218514,1,turquoise
hs,5642,815,19.42796015,-0.300174053,9905,14941,987.7223124,18.33251534,45.67431,0.929015674,0.501711158,1,turquoise
hs,5643,818,20.38217622,-0.377127643,11186,16028,993.951736,19.59413203,60.07497164,0.926620664,0.502250233,1,turquoise
pontarp,1111111,56,-9.477328406,-0.539936182,201,433,64.96799758,7.732142857,8.054220779,0.944042828,0.583518963,17,orangered
pontarp,1111211,53,-7.937762097,-0.747019402,266,456,62.60787614,8.603773585,11.47460087,0.91860805,0.656697962,17,orangered
pontarp,1111221,21,-3.721628558,-0.08865994,45,113,20.29736942,5.380952381,2.947619048,0.880806459,0.496805556,17,orangered
pontarp,1111311,42,-2.720467077,-0.40813668,117,283,46.55068282,6.738095238,4.783391405,0.900895516,0.554831676,17,orangered
pontarp,1211111,61,-7.932918075,-1.153565906,333,561,80.25719695,9.196721311,15.99398907,0.933544524,0.688772621,17,orangered
pontarp,1211121,23,-5.047089918,-0.245292023,50,128,22.63950586,5.565217391,2.984189723,0.916842785,0.460064935,17,orangered
pontarp,1211211,52,-7.432243338,-0.752587772,186,400,61.52414647,7.692307692,6.844645551,0.927442483,0.56675361,17,orangered
pontarp,1211221,24,-4.401477369,-0.485711083,69,145,24.11596048,6.041666667,6.302536232,0.87522209,0.518782468,17,orangered
pontarp,1211311,40,-2.896775787,0.689767771,102,258,40.07184064,6.45,3.484615385,0.917607012,0.456694086,17,orangered
pontarp,1212111,52,-5.44259846,-1.074065942,247,435,65.8273763,8.365384615,11.7658371,0.908719729,0.695140173,17,orangered
pontarp,1212211,52,-4.345192228,-0.983480297,215,407,64.2758735,7.826923077,10.34200603,0.919522312,0.653968244,17,orangered
pontarp,1212311,35,-1.223776868,-1.252509958,229,345,46.63381238,9.857142857,20.18487395,0.763021825,0.599873198,17,orangered
pontarp,1311111,53,-7.292268111,-0.552736253,166,388,61.10676268,7.320754717,5.645137881,0.950683235,0.575367164,17,orangered
pontarp,1311121,20,-4.944796536,-0.591857973,41,103,20.32896379,5.15,3.607894737,0.914865736,0.642777778,17,orangered
pontarp,1311211,46,-5.437399457,1.740354345,104,296,44.92560213,6.434782609,2.828985507,0.932302803,0.381909651,17,orangered
pontarp,1311221,20,-4.133688367,3.418338329,28,96,17.38387525,4.8,1.536842105,0.907566123,0.358333333,17,orangered
pontarp,1311311,31,-2.90104454,-0.10384127,70,186,31.6180038,6,3.333333333,0.897876479,0.481788549,17,orangered
pontarp,1312111,54,-5.227973341,-0.673992577,166,384,63.99990654,7.111111111,4.364779874,0.934568867,0.637269929,17,orangered
pontarp,1312121,22,-2.978793367,-0.68185994,56,128,22.66709382,5.818181818,5.108225108,0.840501253,0.472011785,17,orangered
pontarp,1312211,47,-4.380918439,-1.26799114,290,452,63.44657073,9.617021277,22.06753006,0.851274285,0.630281336,17,orangered
pontarp,1312221,20,-2.360170521,-0.798185116,39,105,20.71607976,5.25,3.671052632,0.849055194,0.605050505,17,orangered
pontarp,1312311,32,-1.56891095,0.088591449,72,192,32.86584868,6,3.419354839,0.877419355,0.495436508,17,orangered
pontarp,2111111,78,-10.38160161,-0.685846489,363,689,94.23732736,8.833333333,11.12770563,0.968710725,0.611312707,17,orangered
pontarp,2111121,30,-6.358182439,-0.215488919,73,181,31.08164488,6.033333333,4.102298851,0.936023823,0.529473304,17,orangered
pontarp,2111211,78,-8.865025796,-0.868503036,520,828,97.32462607,10.61538462,27.56443556,0.942472432,0.598510619,17,orangered
pontarp,2111221,34,-6.530500538,0.950083529,72,200,33.92580603,5.882352941,2.349376114,0.930558395,0.499912854,17,orangered
pontarp,2111311,66,-6.318459942,-0.644136284,305,571,77.98699994,8.651515152,15.15361305,0.938660935,0.523653105,17,orangered
pontarp,2111321,27,-5.373429126,-0.061025408,53,151,27.78334192,5.592592593,3.712250712,0.923677634,0.539413265,17,orangered
pontarp,2211111,78,-10.06797461,-0.90071466,420,738,98.29060904,9.461538462,18.04395604,0.962412923,0.61855753,17,orangered
pontarp,2211121,34,-5.885847005,-0.127230757,104,220,35.34108793,6.470588235,5.832442068,0.944547467,0.588716406,17,orangered
pontarp,2211211,73,-8.367634609,-1.138713918,527,793,98.03223974,10.8630137,28.28652968,0.942125009,0.725568974,17,orangered
pontarp,2211221,33,-6.341514165,-0.511715872,104,220,35.17946115,6.666666667,6.979166667,0.93844123,0.509713203,17,orangered
pontarp,2211311,60,-5.644590689,-1.073459493,396,610,77.98878357,10.16666667,24.24293785,0.920622321,0.638724364,17,orangered
pontarp,2211321,25,-5.596877815,9.999926417,30,126,23.4658538,5.04,1.206666667,0.944027778,0.440082645,17,orangered
pontarp,2212111,80,-8.430368373,-0.455762401,278,668,92.56935567,8.35,9.344303797,0.940333572,0.496869355,17,orangered
pontarp,2212121,28,-5.53637794,-0.305655616,67,169,28.79940837,6.035714286,3.665343915,0.917311222,0.49122288,17,orangered
pontarp,2212211,73,-7.274276789,-1.084237118,360,654,95.39488173,8.95890411,12.03995434,0.932290177,0.672511942,17,orangered
pontarp,2212221,31,-4.381061803,1.722539221,56,174,30.64246113,5.612903226,2.311827957,0.876017587,0.491321699,17,orangered
pontarp,2212311,62,-4.020712319,0.467751658,159,439,66.35473106,7.080645161,3.944209413,0.945005843,0.4599651,17,orangered
pontarp,2212321,29,-3.085972758,0.500302945,62,168,28.34783468,5.793103448,2.884236453,0.905367656,0.417980515,17,orangered
pontarp,2311111,76,-9.050831412,-0.237117042,252,596,87.17311436,7.842105263,5.228070175,0.972481102,0.506888542,17,orangered
pontarp,2311121,32,-7.082075869,5.513406245,50,176,30.194601,5.5,1.548387097,0.951120616,0.377002165,17,orangered
pontarp,2311211,68,-7.516405778,-0.81779731,381,643,83.32987097,9.455882353,13.17712906,0.936379977,0.625252709,17,orangered
pontarp,2311221,30,-5.676072194,-0.290660543,68,174,32.20307184,5.8,3.337931034,0.93882826,0.611160714,17,orangered
pontarp,2311311,54,-5.921482572,-0.158098211,190,408,58.6820623,7.555555556,7.647798742,0.942068132,0.469602014,17,orangered
pontarp,2311321,26,-4.809322263,-0.17043553,69,157,25.6295513,6.038461538,4.198461538,0.909279485,0.477751878,17,orangered
pontarp,2312111,81,-7.957768733,-1.0323525,376,732,105.3700132,9.037037037,12.76111111,0.944707753,0.588016642,17,orangered
pontarp,2312121,34,-6.000941718,-0.654842988,106,230,37.3055995,6.764705882,7.821746881,0.910759546,0.521938615,17,orangered
pontarp,2312211,75,-6.373094861,-0.534146446,291,621,88.71210751,8.28,6.961081081,0.943460365,0.529493859,17,orangered
pontarp,2312221,31,-4.463638984,-1.34170645,143,237,39.47650677,7.64516129,11.56989247,0.85921659,0.751508127,17,orangered
pontarp,2312311,60,-5.320008064,-0.840384654,272,506,73.04673859,8.433333333,8.62259887,0.937113508,0.61557754,17,orangered
pontarp,2312321,27,-3.108004215,-1.170807245,93,179,32.01163445,6.62962963,8.165242165,0.867029215,0.668253968,17,orangered
pontarp,2423321,73,-7.917104748,-1.146144777,429,713,97.3360286,9.767123288,14.04223744,0.926683502,0.668664184,17,orangered
pontarp,3111111,86,-12.22466347,-1.01317194,454,810,111.7065368,9.418604651,15.06976744,0.97608182,0.637812186,17,orangered
pontarp,3111121,35,-7.063055133,2.055451389,63,203,33.37769407,5.8,1.870588235,0.95705364,0.32047138,17,orangered
pontarp,3111211,66,-9.177843804,-1.061889441,453,701,86.18537279,10.62121212,23.03892774,0.94936028,0.608859248,17,orangered
pontarp,3111221,34,-7.092445079,3.487417565,61,193,31.84231022,5.676470588,1.922459893,0.939958737,0.379113787,17,orangered
pontarp,3111231,22,-3.48710212,0.980913458,34,112,20.63953968,5.090909091,1.991341991,0.930383165,0.446212121,17,orangered
pontarp,3111311,75,-5.88513147,-1.114954251,805,1059,103.3362117,14.12,54.13405405,0.90707939,0.663643331,17,orangered
pontarp,3111321,32,-5.917842343,2.890565018,56,180,31.84148343,5.625,1.983870968,0.951639378,0.4608515,17,orangered
pontarp,3111331,20,-3.791731087,-0.531687788,40,106,19.9896466,5.3,2.957894737,0.881713212,0.524314574,17,orangered
pontarp,3211111,85,-11.0105497,-0.685377564,406,772,103.1602349,9.082352941,14.17170868,0.975573271,0.554590842,17,orangered
pontarp,3211121,40,-6.458811525,-0.583981143,130,282,44.7852584,7.05,6.1,0.950430811,0.547140879,17,orangered
pontarp,3211131,20,-5.15894954,-1.359482829,53,113,22.69324245,5.65,4.871052632,0.946013495,0.65353836,17,orangered
pontarp,3211211,80,-10.65897321,-1.078827097,585,907,106.6718576,11.3375,26.96060127,0.960204425,0.600673903,17,orangered
pontarp,3211221,37,-6.172016796,-0.174133982,103,239,39.58413744,6.459459459,4.366366366,0.947333927,0.534322803,17,orangered
pontarp,3211231,22,-5.591294965,-0.285463258,42,116,22.21350741,5.272727273,2.303030303,0.942118795,0.508717041,17,orangered
pontarp,3211311,67,-7.235421251,-1.089962646,591,825,89.57148704,12.31343284,37.27905925,0.920621877,0.662483981,17,orangered
pontarp,3211321,29,-5.712357016,0.237642775,64,170,28.83276396,5.862068966,3.194581281,0.939626648,0.443616747,17,orangered
pontarp,3212111,87,-9.396338394,-0.564939062,279,695,104.5249025,7.988505747,5.127773323,0.965116279,0.594033734,17,orangered
pontarp,3212121,34,-5.809396621,-0.349576529,108,226,36.20187211,6.647058824,4.962566845,0.917310057,0.591106244,17,orangered
pontarp,3212211,84,-8.804002515,-0.885988251,526,862,105.8950801,10.26190476,21.18359151,0.948402292,0.65885981,17,orangered
pontarp,3212221,32,-6.142106469,-0.840951421,108,216,36.43879867,6.75,6.967741935,0.910117822,0.65092529,17,orangered
pontarp,3212311,73,-5.633167596,-1.071576926,416,704,95.73819875,9.643835616,18.56582953,0.938044797,0.620812285,17,orangered
pontarp,3212321,35,-3.813920009,0.653421822,80,214,35.05446723,6.114285714,2.692436975,0.917076105,0.410198413,17,orangered
pontarp,3311111,82,-9.520259022,-1.122812104,401,765,109.398257,9.329268293,14.19888588,0.968109194,0.623364593,17,orangered
pontarp,3311121,38,-6.996147287,-0.535190723,127,267,41.64925411,7.026315789,6.404694168,0.933661981,0.542007864,17,orangered
pontarp,3311211,77,-9.079123739,-0.673434926,458,762,92.01668123,9.896103896,15.77853725,0.954418926,0.603008621,17,orangered
pontarp,3311221,34,-5.870766602,-1.117118604,150,262,41.41479057,7.705882353,12.09269162,0.908000483,0.660806495,17,orangered
pontarp,3311231,21,-5.064008087,-0.833792824,68,128,21.87644712,6.095238095,6.49047619,0.900497945,0.627728175,17,orangered
pontarp,3311311,65,-6.050264824,-1.006800319,389,639,83.01299878,9.830769231,18.58028846,0.943938338,0.64486093,17,orangered
pontarp,3311321,28,-3.812869884,-0.271491746,76,172,28.6391484,6.142857143,3.312169312,0.90986834,0.537760553,17,orangered
pontarp,3312111,91,-9.925501008,-0.285366184,393,815,103.5190198,8.956043956,8.931379731,0.964953215,0.452494537,17,orangered
pontarp,3312121,39,-5.239900333,-1.184502475,152,292,48.84327402,7.487179487,8.624831309,0.925079316,0.652031963,17,orangered
pontarp,3312211,83,-7.013772101,-1.187962399,546,878,114.0685309,10.57831325,25.05171907,0.935532975,0.661002837,17,orangered
pontarp,3312221,37,-5.0296337,0.71347727,84,228,36.56918302,6.162162162,4.584084084,0.923061781,0.408907288,17,orangered
pontarp,3312231,21,-4.690869862,-1.266222617,93,149,24.89029993,7.095238095,9.49047619,0.862360586,0.778809524,17,orangered
pontarp,3312311,68,-6.397712441,-1.191191349,660,900,95.41068192,13.23529412,34.45127305,0.8581865,0.651863688,17,orangered
pontarp,3312321,31,-3.747032431,-0.98292064,86,196,35.79767765,6.322580645,5.425806452,0.906088832,0.637723214,17,orangered
etienne,11331,28,2.674933913,-0.889703799,86,184,31.34665815,6.571428571,3.661375661,0.572603855,0.558150183,17,darkblue
etienne,11332,27,2.230263275,0.300481193,61,155,26.7554987,5.740740741,2.968660969,0.623219542,0.539335664,17,darkblue
etienne,11333,28,2.080297902,3.196499112,48,150,27.00975195,5.357142857,1.645502646,0.715477804,0.51748145,17,darkblue
etienne,12331,23,3.098366904,0.106131654,47,123,22.72158201,5.347826087,2.600790514,0.649751497,0.513333333,17,darkblue
etienne,12332,23,2.718078254,-0.660622863,72,142,23.77895134,6.173913043,4.786561265,0.444963761,0.606481481,17,darkblue
etienne,12333,22,2.082691171,-0.257024416,34,114,22.59995452,5.181818182,2.155844156,0.646547901,0.532638889,17,darkblue
etienne,13331,23,3.307630098,-0.581226142,58,134,23.5738151,5.826086957,4.877470356,0.513574945,0.549242424,17,darkblue
etienne,13332,24,3.249752134,5.447773448,35,121,22.04211493,5.041666667,1.780797101,0.636742368,0.459366391,17,darkblue
etienne,13333,24,2.842370309,0.544816218,49,133,22.45203439,5.541666667,2.432971014,0.541373902,0.449970484,17,darkblue
etienne,21331,38,2.709573789,0.960204031,88,236,38.3818211,6.210526316,2.549075391,0.655537819,0.485007078,17,darkblue
etienne,21332,42,2.912246527,-0.847439301,185,337,49.03997438,8.023809524,12.75551684,0.550252714,0.557182317,17,darkblue
etienne,21333,44,2.712895657,-0.734766327,169,337,51.03012717,7.659090909,8.09038055,0.56906159,0.554295164,17,darkblue
etienne,22331,28,1.55663054,-0.974341803,84,176,31.73921985,6.285714286,6.878306878,0.482551718,0.619328068,17,darkblue
etienne,22332,27,0.961449643,-0.33585461,78,168,27.30999939,6.222222222,4.487179487,0.497022888,0.519309163,17,darkblue
etienne,22333,31,1.806662125,-0.635933508,75,189,34.07970723,6.096774194,4.956989247,0.690297412,0.576610644,17,darkblue
etienne,23331,33,3.067302305,0.230254595,67,195,34.51448485,5.909090909,3.085227273,0.645782756,0.512671958,17,darkblue
etienne,23332,37,3.419876768,-0.77687101,127,259,42.43359687,7,8.777777778,0.579099946,0.604724039,17,darkblue
etienne,23333,36,2.701641135,4.71980446,57,205,32.25052636,5.694444444,1.703968254,0.569337488,0.190795207,17,darkblue
etienne,32321,49,3.729198958,0.026207883,152,348,53.10289418,7.102040816,5.510204082,0.55602992,0.459620578,17,darkblue
etienne,32322,50,3.172194747,3.690230131,75,311,52.94331056,6.22,1.766938776,0.685918425,0.4873668,17,darkblue
etienne,32323,49,2.724855452,-0.624784637,183,369,56.34538667,7.530612245,7.587585034,0.613191014,0.551721743,17,darkblue
etienne,32331,167,3.353026472,-0.385186187,866,1752,199.9418568,10.49101796,7.781545343,0.597038787,0.498517529,17,darkblue
etienne,32332,176,3.212616583,0.598042339,751,1673,197.1192423,9.505681818,6.948538961,0.641493384,0.451911904,17,darkblue
etienne,32333,183,3.13931906,-0.202431614,752,1720,219.4520694,9.398907104,6.219119678,0.731942904,0.584794185,17,darkblue
etienne,33321,30,3.357506904,-0.48619918,95,193,31.79005953,6.433333333,6.116091954,0.536621274,0.637585034,17,darkblue
etienne,33322,30,2.936875117,2.532302894,46,164,28.56548568,5.466666667,2.326436782,0.648015994,0.432051282,17,darkblue
etienne,33323,33,3.356979106,-0.402863184,88,206,35.44670073,6.242424242,3.626893939,0.558341837,0.521056548,17,darkblue
etienne,33331,70,3.882704721,0.176718467,209,515,77.88064376,7.357142857,4.870600414,0.576273357,0.547206698,17,darkblue
etienne,33332,71,3.522897402,-0.192995639,258,576,79.79176832,8.112676056,5.387122736,0.454994481,0.497206085,17,darkblue
etienne,33333,72,3.40776854,-0.203744894,262,586,82.13039819,8.138888889,5.473395931,0.404461395,0.540494426,17,darkblue
